material_id,pretty_formula
mp-1221227,Na3MnCoNiO6
mp-974729,Nd(Al2Cu)4
mp-1185360,LiMnIr2
mp-1188861,LiCSN
mp-677272,La2EuS4
mp-1104517,Yb3Ga9Pt2
mp-561310,NaLiCO3
mp-777964,Na2BiO3
mp-1078776,InBiS3
mp-1217581,TbAlNi4
mp-1226849,CdIn3Te4As
mp-1188441,TiCu4
mp-2400,NaS
mp-755297,Li2CoO2
mp-1112148,Cs2NaMoI6
mp-20950,Nd(SiPt)2
mp-1019278,TbGeAu
mp-547792,KSbO3
mp-16341,Li2HgGe
mp-1215947,YLu(BIr)8
mp-1224950,FeCoSb4
mp-867272,LiAlCu2
mp-1185774,Mg2Sc
mp-776164,LiFeF4
mp-30875,Ti2Sn
mp-15822,LiSmGe
mp-1111567,K2ScTlF6
mp-684705,CaLaMnMoO6
mp-2832,Cr2Se3
mp-865364,DyTaRu2
mp-12571,HfBeSi
mp-1225679,ErGaNi
mp-1102038,MgH2
mp-1187002,Sm2MgCd
mp-15634,Cs2NaTiF6
mp-1667,Co2Ge
mp-29337,Tl3BS3
mp-1102002,FeTe2
mp-22592,CaTi4(CuO4)3
mp-4482,NaSbO3
mp-867135,ScZnPd2
mp-1225810,Cu2SiTe3
mp-1103663,Sr3TaHO6
mp-1227942,BaGaGe
mp-1206487,Yb(CdAs)2
mp-1224823,GaGePt6
mp-643814,Zn2SiH2O5
mp-568529,PrMg2Ni9
mp-10626,Yb(SiRh)2
mp-759676,V4O7F5
mp-754736,BaSr3I8
mp-862287,BeAlRh2
mp-1185135,KBr3
mp-676315,Y2GeI2
mp-550220,CoGeO3
mp-571044,CeSi2Ir3
mp-766870,Mn5O9F
mp-552963,Pr2Ti2S2O5
mp-1025252,Cs2MnCl4
mp-570668,LaSe2
mp-973935,OsN2
mp-1217143,Ti3AgS6
mp-1206941,Rb(CoP)2
mp-567807,TmZrSb
mp-862259,Sc3Al
mvc-15303,ReSbO6
mp-757085,Li2CrCoO4
mp-1070264,La2Ni2I
mp-1025227,Rb2MgCl4
mp-18198,ScSnPt
mp-1095424,Pr4Mn2As5
mp-1102869,ZrSiIr
mp-1206898,Y2InGe2
mp-1113580,Rb2TmAgCl6
mp-21437,Fe2TeO6
mp-1030682,Te3MoWSe
mp-1217696,Tb2AlFe3
mp-1238847,Na(CrS2)2
mp-1221909,Mn2Cr3GaS8
mp-1207855,V5Te8
mp-1223641,K2MgCuF6
mp-1219073,SmFe2Co2B
mp-1102155,ErAlAu
mp-675739,Ce5CuSe8
mp-1221196,Na4Eu(SiTe3)2
mp-989588,LaOsN3
mp-1209057,Sc2Au
mp-866106,Ba2HgPb
mp-864990,Mn2AlW
mp-1212860,DyZrF7
mp-1104668,Eu3As4
mp-694855,Li2MoO3
mp-559417,LaB2ClO4
mp-753397,Ga2CuO4
mp-1238828,TiCrCuS4
mp-1518993,SrCaNdSbO6
mp-7911,KCuO
mp-1183895,Eu2GaHg
mp-1219522,RuRh4
mp-1183187,AlFe2Ge
mp-1095550,HoAsPt
mp-1222929,LaAlNi4
mp-570778,Cl2
mp-13384,ErAg(PSe3)2
mp-21510,K2NaInAs2
mp-1220781,NaLi3V4O12
mp-1226822,Ce2Y(AlPd)3
mp-20334,CoCu2O3
mp-997094,SrAuO2
mvc-3973,Ca2BiSbO6
mp-8560,SF6
mp-4475,Tl(CoSe)2
mp-20347,NdSnPt
mp-1224395,Hf(AlFe)6
mp-1147589,Ba2CuSeO2
mp-1248625,MgMn(SiO3)2
mp-1106129,Bi4Te2Br2O9
mp-557163,TaPbF7
mp-1210309,Na3TbBr6
mp-10225,NaVS2
mp-1219515,Ru2SeS3
mp-1219977,PrCuGe
mp-557296,Sr2MnSbO6
mp-7376,Sr3(AlSn)2
mp-559094,Cu2H3ClO3
mp-1205575,Sr2ScOsO6
mp-1187051,Sm2CdIn
mp-1019378,Al3GaN4
mp-1189929,Li2PtF6
mp-29364,Li5SbO5
mp-3827,KFeS2
mp-1186253,Nd2MgCd
mp-4574,YbTaO4
mp-1184112,Er2MgOs
mp-551131,Co2AsClO4
mp-1228329,Ba2PtAu
mp-7121,Dy(AlSi)2
mp-1079307,Dy3(CoGe2)2
mp-1219582,RbAlNiF6
mp-1207143,LaCd2Cu
mp-1225505,Er2InAg
mp-2498,PrOs2
mp-1217205,Ti5CuS10
mp-25972,MnPO4
mp-755352,Li2HfO3
mp-776331,Zr5N5O2
mp-27791,SrBe3O4
mp-20324,Ba2LuCu3O7
mp-849493,Li2FeF4
mp-753348,Fe(CoO2)2
mp-1185443,LiYbPb2
mp-23177,HgBr
mp-1079700,Dy6CoTe2
mp-1220417,Nb6PdRh
mp-29562,Tl2MoCl6
mp-9274,Rb3Sb2Au3
mp-1184689,Ho2NiRu
mp-1187927,YbAlHg2
mp-18881,KCr4O8
mp-972246,Tb2ReC2
mp-1113274,Rb2CeAgF6
mp-755786,Li5Fe3(NiO5)2
mp-22957,SrClF
mp-776473,VOF3
mp-1540553,Rb2Ti(TeO4)3
mp-1186122,NaCd2Rh
mp-2463,LuFe2
mp-2133,ZnO
mp-1227425,BiBPbS4
mp-1030504,MoW3Se8
mp-7650,RbScO2
mp-1112120,Cs2RbScCl6
mp-1188827,MgCu2SiSe4
mp-11660,Hf3N4
mp-1189057,LuGePd2
mp-758265,LiCu2F6
mp-30750,CeAl4Ni
mp-1069533,Hf2SN2
mp-1224091,InCuTe2
mp-1014219,HfZn
mp-1217066,Ti2Be3Ga
mp-491,La3Se4
mp-1222686,LiCuRu2(RhO4)2
mp-864769,LiYb2Tl
mp-1213025,ErSbRh
mp-20381,HfGaPd
mp-568182,Ce(CoAs)2
mp-23950,K(BH)3
mp-972176,Zr5Al3C
mp-1188586,Pr2Ge5Ru3
mp-1187338,TbHo3
mp-29976,Na3BS3
mp-1651584,LiFePH2O5
mp-1113712,Rb2AgPdF6
mp-755568,GaBiO3
mp-1096882,Cr3N2
mp-1183305,BaSrHg2
mp-1221656,MnAl2Ni
mp-632286,Sb
mp-1216765,V2Co9W
mp-1185750,Mg2AgHg
mp-1222453,LiLa4CuO8
mp-1095673,CrCoSi
mp-1221275,Na2Zn3GeAs4
mp-1103567,Zr4NiP
mp-1227325,BaSrMgTeO6
mp-6732,La2MgIrO6
mp-768221,YBiO3
mp-21419,CeMg2
mp-11258,TbAu
mp-850956,Li2Mn3Cr3O12
mp-849731,LiTiV2O6
mp-559847,Ag5P(S2Cl)2
mp-1106203,Ce(Tl3Te2)3
mp-560262,Zn(InS2)2
mp-21521,Cs2PbO3
mp-1018020,NiAgSe2
mp-570558,Rb2NbCl6
mvc-16572,CaMoO3
mp-864657,HoI3
mp-865730,TiZnAu2
mp-1177618,Li3MnCr3O8
mp-1211294,La3NbSb5
mp-37045,Ce2SmS4
mp-753776,Li4SbS4
mp-1668,YbAu2
mp-867270,Be2CoPt
mp-16180,Na6S2O9
mp-1094439,MgZn2
mp-30354,ScAg4
mp-1080622,KRhF6
mp-30349,Li2AgPb
mp-1221781,MnInCuTe3
mp-866153,TiAlRh2
mp-776323,Li2V5NiO12
mp-1220006,Pr(InCu)6
mvc-15272,Ca2CoN2
mp-1190311,NaH2(SO2)2
mp-30244,Mg2H2O3
mp-1189549,LiH2N
mp-541150,BaMn4O8
mp-1220096,NdTiFe11C
mp-9676,K2NaGaAs2
mp-1224007,K2NaMo(OF)3
mp-1293376,FeRe(PbO3)2
mp-998429,NiAgF3
mp-1185393,LiLuRh2
mp-1179515,Sc3RuC4
mp-1103290,Mg(BH4)2
mp-1017981,Hg
mp-1186338,NdTmIn2
mp-12802,AlCu3
mp-763609,Li4Mn5O10
mp-866116,HoTaRu2
mp-780883,Mn3(OF2)2
mp-1222671,Li2CdIn
mvc-16811,LiMn2O4
mp-1103015,TmFe3
mp-1219188,Sm2NiGe3
mp-159,Nd
mp-2694,LaAl2
mp-1223095,La2Ti3(BiO6)2
mp-19086,BaCoO2
mp-754556,Nb3N5
mp-569696,La(AlGa)2
mp-1185121,LaZn3
mp-755142,La2MgO4
mp-25405,LiCuPO4F
mp-1209526,PrBPt2
mp-1247173,Mg2Mn3AlS8
mp-1223096,La2TiCo16
mp-571249,Tb
mp-864734,HfInPd2
mp-1187348,TbHoRh2
mp-23353,Cu2HgI4
mp-2090,FeCo
mp-1217476,TbSi2IrRh
mp-1232213,YSe2
mp-1186713,Pr3Dy
mp-1226069,Co3SiMo2
mp-1208115,V2NO5
mp-23206,BiPd
mp-1187320,Tb5Mg
mp-866009,DyZrRu2
mp-1219358,ScAlFe
mp-753230,LiFe(CO3)2
mp-862560,Cu3Mo2(HO5)2
mp-1113480,Cs2AgMoCl6
mp-867201,CaInHg2
mp-7035,CaMgAsO4F
mp-1104447,KGdGeS4
mp-562182,ZnSiO3
mp-1227008,Cd2GaCuTe4
mp-1095380,LiEuBi
mp-8406,Li3NdAs2
mp-1221389,Mn5Ni8Sn3
mp-765618,Mn6O7F5
mp-20790,InPS4
mp-1205315,LiBiO2
mp-1222555,LuFe2Co2B
mp-30147,ZrTiAs
mp-2462,PrCu5
mp-1102578,Nd3(AgSn)4
mp-1215230,ZrTiMn4
mp-1519250,SrCaNbFeO6
mp-1222697,LaSmS2
mp-558830,ZnTeMoO6
mp-1206423,NdIn
mp-1188529,Mn7BiO12
mp-903,ZrCr2
mp-1112480,K2AgAsCl6
mp-1101915,Li2Cu2TeO6
mp-1223506,KBa2Bi2O7
mp-675458,La2Te4Pb
mp-1212891,Eu3Sn5
mp-9210,La(PdO2)2
mp-1217801,SrTiNb2Bi2PbO12
mp-18966,FeAgO2
mp-15323,Nd(BOs)4
mp-5575,GdTaO4
mp-981312,ZrCu2Hg
mp-982380,Li2Mg
mp-20066,CO2
mp-1225340,Eu2CuTe4
mp-1103936,Er(MnSn)6
mp-1523171,NaEuZrSbO6
mp-1220689,Nb(ZnGa)3
mp-1114295,Cs2TlCuBr6
mp-1217593,TbAl7Fe5
mp-4002,Li2ZrF6
mp-1219212,Sm2Al4Fe13
mp-1018764,Li3HoSb2
mp-25279,V2O5
mp-1216123,Y2Al3Fe
mp-29644,GeBi4Te7
mp-971739,ZnCuPt2
mp-1216573,TmAlNi4
mp-1218520,SrAl2O4
mp-10246,Na2PtS2
mp-1227786,Ca2TiSi2SnO10
mp-1251059,MgSi2SnO6
mp-569818,Er3Si3Ni
mp-1206599,Sm(AlGe)2
mp-19035,BaFeO3
mp-1783,MnS
mp-1190287,LiCO2
mp-1224152,Ho(VFe5)2
mp-1219936,Pd7O8
mp-569548,CsAuBr3
mp-1079656,TmAgS2
mp-567597,Bi
mp-1209398,Rb3LuV2O8
mp-1227045,CaH2Pd
mp-865560,Y2AlZn
mp-1219830,Pr3MgAl2
mp-977568,ZrSnPd2
mp-505531,FeS
mp-1111651,K2NaAsCl6
mp-752413,Ca2HfO4
mp-1101405,Rb2O
mp-10183,MgSbPd
mp-1223111,La4Bi2Pb
mp-1228810,AsIrSe
mp-1205409,Eu3(AlP2)2
mp-1208480,Tb3Co2Si3
mp-1039463,MgCd
mp-1226064,CoNiS4
mp-19905,Co2Si
mp-756506,V2NiO6
mp-1216876,TiGaNi6
mp-755976,Li2MnV4FeO12
mp-28916,Mn3As2
mp-1213070,Eu2Sn
mp-646399,Gd(NiGe)2
mp-560338,CrF3
mp-1106367,HgS4
mp-1176480,Mn3(OF2)2
mp-1221404,MoSeS
mp-3248,TbAsO4
mp-1223378,KNa4Cl5
mp-1078184,Eu4Bi2O
mp-29733,MgNiBi
mp-1516433,Ba2LaNbO6
mp-30254,Ba3(LiSn2)4
mp-1104019,Y3Pd4
mp-1102432,Cu3AsO7
mp-1174024,Li4MnCo3O8
mp-1184409,Gd2MgCd
mp-1183484,Ca
mp-30714,Tm2Zn17
mp-1205711,La2Ru2I
mp-1222353,LiMnRhO4
mp-639863,CeGaPd2
mp-1212203,Ho5SbPd2
mp-1223437,La2Ga7Co
mp-755127,Ag2GeO4
mp-29882,CsPdCl3
mp-1206125,Sm(PPd)2
mp-1187928,Yb2ZnAg
mp-32884,Ag2S
mvc-2250,YCu3(NiO3)4
mp-1220988,NaTl3S2
mp-549709,ErBi2ClO4
mp-1114337,Na2LiIrF6
mp-570256,Ag2HgI4
mp-1087504,KZn4P3
mp-864903,MgTaRu2
mp-1212824,Er(Co2Ge)2
mp-11317,CeFe5
mp-1025066,ErInCo4
mp-1095134,LaCoGe2
mp-1187657,YbCeAg2
mp-1184131,Er2AgOs
mp-866074,NdMgAg2
mp-752465,LiVF4
mp-21229,Eu(SiAu)2
mp-15155,Na2Sm2Ti3O10
mp-569581,Bi2Pt
mp-675,ZrW2
mvc-14834,CaTiF6
mp-38220,RbNO3
mp-559736,VAgO3
mp-1282563,NaCo2O3
mp-1674,PrSe
mp-19282,Sr2ZnWO6
mp-1078832,ZrGaNi
mp-1217605,TbCuPbS3
mp-21450,Nd2InPd2
mp-755683,Mn5NiO12
mp-19147,NiCO3
mp-8045,V5P3N
mp-1018647,YbNiH3
mp-1079794,LuSiAg
mp-569304,C
mp-989523,Rb2NaAsF6
mp-2484,SmSn3
mp-866811,CaSnS3
mp-1025536,PrGa2Ni
mp-555984,EuCu2SnS4
mp-2449,NbRh3
mp-1105973,ScAgSe2
mp-1112669,Cs2LiTbCl6
mp-9687,K2PAu
mp-1185337,LiHg3
mp-1183611,CaYb3
mp-1105549,BaHfS3
mp-23959,KP(HO2)2
mp-9321,Ba2HfS4
mp-510311,BaZnPb
mp-1215517,Zr2MnFe3
mp-1094479,MgZr
mp-754178,Mn5OF11
mp-754212,BaSr2I6
mp-770627,Li2MnFeO4
mp-12912,Ba2PrRuO6
mp-1219800,Ni6Ge2P
mp-34467,Zn(GaS2)2
mp-4535,PrGaO3
mp-1209696,Sm12Co6Pb
mp-13385,TmAg(PSe3)2
mp-865422,YbTmRh2
mp-17112,K3Ge4Au
mp-768,TmAl3
mp-21293,Li3In2
mp-862748,Sr2MnZn2(AsO)2
mp-1298446,Ca2MnGaO5
mp-972540,SmYZn2
mp-1215562,Zn3CdO4
mp-648086,GdGa2Co
mp-8621,K2PtSe2
mp-560531,BaWO4
mvc-9843,HoMgTi2O6
mp-753081,Li3(CuO)4
mp-760891,Cu3OF5
mp-1184738,HoErIn2
mp-1189143,NaNdFeWO6
mp-9919,LiZnSb
mp-757499,Li2Fe3CoO8
mp-1102752,TmCo4B
mp-22538,Li8PbO6
mp-13396,LiIn2Rh
mp-768241,Dy2Ge2O7
mp-1040464,NaOsO3
mp-1358,DyIr2
mp-1220450,Nd(CrFe5)2
mp-1207861,VCd2BiO6
mp-977244,NaTi5Se8
mp-11091,NdMgPt
mp-998786,TlPdF3
mp-1209159,RbSc(WO4)2
mp-636368,Ga3Fe
mp-1226586,Co2Ni2Te5
mp-15779,Mg2SiNi3
mp-1215561,Zr2VNi3
mp-1185940,MgPb2
mp-558849,CdBiS2Cl
mp-20058,GdAlPd
mp-862555,LiY2Al
mp-9211,Tm2Fe2Si2C
mp-14445,Ca(BIr)2
mp-1025265,Cs2CuF4
mp-21167,Ni2P
mp-755705,SrLaI5
mp-30974,CsWCl6
mp-973314,Ho2PdRh
mp-1184740,HoErHg2
mp-31116,LaScO3
mp-1069604,CaSi3Pt
mp-675977,AgBiS2
mp-22947,K2ReCl6
mp-1212934,ErZnGe
mp-865326,Lu2PdPt
mp-561639,CsSbS2
mp-1101917,SnBi4Te7
mp-1105569,Y2Fe17
mp-1217576,TbBiTe3
mp-4584,Tl3BO3
mp-21409,Zn(InS2)2
mp-16478,Tb2Si5Ru3
mp-1206629,Tb2Ge6Pt
mp-1113577,Cs2AlAgBr6
mp-1105716,YGe2Pt
mp-1215437,ZnAg
mp-11570,TbSn3
mp-9870,K3Ta3(BO6)2
mp-559161,CrCdF6
mp-1216950,TiCoNiSn
mp-567636,VFeSb
mp-867913,LiHo2Ir
mp-1103038,SiIr2
mp-171,VNi3
mp-989737,Ag
mp-1025365,Sc(VGa2)2
mp-1246370,Sr4GeN4
mp-862446,TaAlRu2
mp-30603,ZrCu5
mp-5578,LuB2Ru3
mp-1321525,LiTiCoO4
mp-27359,CsScCl3
mp-1218719,Sr2Sm2TlNi2O9
mp-30412,Pb3Au
mp-20866,GeRh
mp-1521186,BaEuNbInO6
mp-24620,MgMoH2O5
mp-21252,GdCo3B2
mp-1223766,K2Ba(FeAs)6
mp-2059,NbAs
mp-849274,LiFeOF2
mp-1188869,Nb2N3
mp-984702,CeDyZn2
mp-1102394,Nb5B6
mp-567540,Ga
mp-973603,Lu2ZnPd
mp-25469,AlCl3
mp-1208875,Sr2ErBiO6
mp-27647,AuCl3
mp-1112161,Cs2RbBiI6
mp-754588,ZrBiO4
mp-1187614,YbLuHg2
mp-863729,Ho2OsPd
mp-1288025,Li2MnCrO4
mp-1189645,Tb7RhBr12
mp-752726,BaLa2O4
mp-6253,KLiBeF4
mp-25250,MoP2O7
mp-22414,CuSeO3
mp-1184427,Gd2AlZn
mp-1019535,BaAl2(SiO4)2
mp-1208560,TaTlCl6
mp-1113369,Cs2CuBiF6
mp-1104877,Lu3Pt4
mp-12645,LiHoO2
mp-1227835,BaNaTiNbO6
mp-1176505,LuHO2
mp-6144,Na2La2Ti3O10
mp-757023,VCrO3
mp-1094796,Mg5Cd
mp-4308,PrAgAs2
mp-1207237,Ho2GaNi2
mp-16267,Dy2CdS4
mp-1180782,KCrF3
mp-1080150,Mo3W(Se3S)2
mp-570472,CdI2
mp-1640048,CaFe4(CuO4)3
mp-1070925,LaPRh
mp-675581,Cr2HO4
mp-8018,K2RhF6
mp-20521,ScInPt2
mp-1025273,Cs2YbH4
mp-1220482,NbAlCr
mp-20784,Ta3PbS6
mp-15637,ZnRhF6
mp-1208362,TbNiSn4
mp-1208877,Sr2EuTa(CuO4)2
mp-1111579,K2TlGaF6
mp-541771,Bi4RuI2
mp-21194,NdGeRu
mp-1071627,LaSiNi4
mp-1054,ErTl
mp-1216594,TmCuSi
mp-1025223,Hf4Al3
mp-1221728,MnCrPt6
mp-11393,Nb3Ga2
mp-755829,BSbO3
mp-774146,W(BrO)2
mp-2858,ZrO2
mp-567670,Ho3(AgSn)4
mp-13093,La3Ni2Sn7
mp-1113749,Rb2AgIrF6
mp-1027292,MoWSeS3
mp-759110,Mn3(O2F)2
mp-1212173,In6Ge2IrO8
mp-1222944,LaNd3Cr4O12
mp-3732,Ti2CS
mp-19723,InAuO2
mp-1183555,CaNdAg2
mp-1179773,Sr2(PPd)3
mp-998537,ZnAgF3
mp-10271,ZnCo3C
mp-1188435,Y2Co3Si5
mp-1216585,Tl4Br3Cl
mp-756638,NbRhO4
mp-1181681,K3NaFeCl6
mp-515,TmTl
mp-29157,Si3P2Pt
mp-20480,Er(Fe2Ge)2
mp-510564,NdIn5Rh
mp-1186332,NdTm3
mp-1219067,Sn5Ge2(SbTe5)2
mp-1147677,Ca(Cu3O4)2
mp-1078613,DyPt
mp-2001,LaTl3
mp-16613,AlAuO2
mp-1185233,Li2YIn
mp-1179094,SrH2
mp-1206416,Ho(AlSi)2
mp-1106177,Ga3Ni5Sn2
mp-1067933,PbS
mp-761066,NaNiPO4
mp-1025422,HoGe3
mp-1078716,SrMoO3
mp-1095130,DySiAg
mp-542587,Ge3Pt2
mp-1206857,SmSnIr
mp-1216628,Tm4MnS7
mp-865736,YbBiPd2
mp-1066254,YAu
mp-1216923,TmMn6InSn5
mp-1072024,TmAlGe
mp-1215269,ZrCrMo
mp-1518284,SrEuInBiO6
mp-14625,NdCoGe3
mp-1028764,WSeS
mp-1222960,LaCuNi4
mp-1184930,HoLu3
mp-1217132,Ti2VTe4
mp-1227017,Ca4ZnAg3
mp-555013,Tl3CO3F
mp-1190030,La3Sb4Au3
mp-3603,Ce3(BN2)2
mp-1222396,Lu4CrS7
mp-757163,LiVF6
mp-1205511,Rb2NiP2
mvc-13940,MgMoF6
mp-1226545,CeSiGePd2
mp-761524,MgCoO3
mp-1244572,MgV4O10
mp-21316,TaSiIr
mp-1213011,ErSbIr
mp-556275,Rb2Al2Sb2O7
mp-36539,KBiSe2
mp-552008,DyBi2ClO4
mp-7107,Er(SiPt)2
mp-1007637,KNaH2
mp-561118,ZnS
mp-644278,Y2H2C
mp-554702,NaZr2NiF11
mp-1072011,HoCuPb
mp-1205786,Y3Ru2
mp-1308540,CrO
mp-20059,ZrMnGe
mp-1543154,MgMnF6
mp-1220405,Nd2Fe3CoSi4
mp-1068348,TmAu4
mp-865374,Tm2OsPd
mp-754145,TbLuO3
mp-11121,CsTbCdSe3
mp-1184111,Dy2MgCd
mp-22643,Tb3(CoGe2)2
mp-1100874,YBO3
mp-4888,NbPO5
mp-1219720,PtSeS
mp-997161,CoAuO2
mp-8016,AlCuSe2
mp-1227369,BaSrYbReO6
mp-1111970,Cs2NaPrF6
mp-762163,Li3TiMn2O6
mp-1001615,LiZrSe2
mp-1217619,TbGa2Co3
mp-1209832,Nd3Cu4(P2O)2
mp-1224642,HfAlFe
mp-1208995,ScTl3F6
mp-22876,CsI3
mp-976765,Na3Au
